  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 63-415 AIRFOIL                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -19.750  -0.9210   0.12577   0.12323  -0.0276   1.0000   0.0095
 -19.500  -0.9645   0.11353   0.11083  -0.0343   1.0000   0.0095
 -19.250  -1.0022   0.10277   0.09991  -0.0402   1.0000   0.0095
 -19.000  -1.0363   0.09301   0.09000  -0.0455   1.0000   0.0094
 -18.750  -1.0621   0.08489   0.08173  -0.0500   1.0000   0.0095
 -18.500  -1.0816   0.07809   0.07480  -0.0537   1.0000   0.0095
 -18.250  -1.0979   0.07193   0.06852  -0.0571   1.0000   0.0095
 -18.000  -1.1111   0.06645   0.06293  -0.0601   1.0000   0.0096
 -17.750  -1.1206   0.06172   0.05809  -0.0625   1.0000   0.0096
 -17.500  -1.1270   0.05751   0.05379  -0.0647   1.0000   0.0097
 -17.250  -1.1326   0.05360   0.04978  -0.0666   1.0000   0.0098
 -17.000  -1.1361   0.05006   0.04615  -0.0682   1.0000   0.0099
 -16.750  -1.1374   0.04692   0.04291  -0.0695   1.0000   0.0100
 -16.500  -1.1378   0.04405   0.03996  -0.0706   1.0000   0.0101
 -16.250  -1.1370   0.04138   0.03721  -0.0715   1.0000   0.0102
 -16.000  -1.1342   0.03901   0.03475  -0.0722   1.0000   0.0104
 -15.750  -1.1314   0.03667   0.03234  -0.0728   1.0000   0.0105
 -15.500  -1.1255   0.03474   0.03033  -0.0731   1.0000   0.0107
 -15.250  -1.1207   0.03275   0.02825  -0.0734   1.0000   0.0107
 -15.000  -1.1126   0.03113   0.02658  -0.0735   1.0000   0.0110
 -14.750  -1.1071   0.02932   0.02470  -0.0735   1.0000   0.0111
 -14.500  -1.1013   0.02763   0.02295  -0.0733   1.0000   0.0114
 -14.250  -1.0929   0.02622   0.02150  -0.0729   1.0000   0.0116
 -14.000  -1.0841   0.02492   0.02015  -0.0724   1.0000   0.0118
 -13.750  -1.0746   0.02376   0.01894  -0.0717   1.0000   0.0120
 -13.500  -1.0657   0.02265   0.01778  -0.0708   1.0000   0.0122
 -13.250  -1.0568   0.02168   0.01676  -0.0696   1.0000   0.0125
 -13.000  -1.0480   0.02076   0.01579  -0.0682   0.9911   0.0127
 -12.750  -1.0101   0.01977   0.01474  -0.0723   0.9727   0.0130
 -12.500  -0.9691   0.01883   0.01371  -0.0768   0.9544   0.0134
 -12.250  -0.9408   0.01800   0.01275  -0.0787   0.9254   0.0138
 -12.000  -0.9279   0.01745   0.01209  -0.0772   0.9000   0.0142
 -11.750  -0.9117   0.01695   0.01149  -0.0760   0.8831   0.0146
 -11.500  -0.8936   0.01650   0.01096  -0.0749   0.8694   0.0151
 -11.250  -0.8744   0.01607   0.01045  -0.0740   0.8575   0.0155
 -11.000  -0.8539   0.01566   0.00997  -0.0733   0.8464   0.0160
 -10.750  -0.8324   0.01527   0.00950  -0.0727   0.8370   0.0164
 -10.250  -0.7882   0.01445   0.00857  -0.0716   0.8188   0.0175
 -10.000  -0.7649   0.01412   0.00818  -0.0712   0.8103   0.0183
  -9.750  -0.7407   0.01379   0.00781  -0.0710   0.8028   0.0190
  -9.500  -0.7161   0.01349   0.00745  -0.0707   0.7951   0.0198
  -9.250  -0.6915   0.01315   0.00707  -0.0705   0.7882   0.0205
  -9.000  -0.6663   0.01285   0.00674  -0.0703   0.7807   0.0215
  -8.750  -0.6408   0.01257   0.00642  -0.0702   0.7740   0.0224
  -8.500  -0.6146   0.01232   0.00612  -0.0702   0.7672   0.0234
  -8.250  -0.5885   0.01207   0.00581  -0.0701   0.7601   0.0244
  -8.000  -0.5623   0.01178   0.00551  -0.0701   0.7539   0.0255
  -7.750  -0.5356   0.01154   0.00524  -0.0701   0.7473   0.0267
  -7.500  -0.5088   0.01133   0.00497  -0.0701   0.7409   0.0277
  -7.250  -0.4814   0.01112   0.00473  -0.0702   0.7344   0.0286
  -7.000  -0.4545   0.01087   0.00445  -0.0702   0.7277   0.0300
  -6.750  -0.4271   0.01065   0.00421  -0.0703   0.7218   0.0316
  -6.500  -0.3995   0.01046   0.00399  -0.0705   0.7151   0.0331
  -6.250  -0.3718   0.01030   0.00378  -0.0706   0.7087   0.0342
