  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 63-215 AIRFOIL                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -19.750  -1.1219   0.10543   0.10235  -0.0207   1.0000   0.0098
 -19.500  -1.1409   0.09801   0.09480  -0.0249   1.0000   0.0099
 -19.250  -1.1577   0.09118   0.08785  -0.0287   1.0000   0.0099
 -19.000  -1.1720   0.08502   0.08158  -0.0321   1.0000   0.0100
 -18.750  -1.1844   0.07932   0.07576  -0.0351   1.0000   0.0100
 -18.500  -1.1950   0.07408   0.07042  -0.0378   1.0000   0.0101
 -18.250  -1.2029   0.06942   0.06566  -0.0401   1.0000   0.0101
 -18.000  -1.2088   0.06517   0.06131  -0.0421   1.0000   0.0102
 -17.750  -1.2120   0.06142   0.05747  -0.0437   1.0000   0.0104
 -17.500  -1.2175   0.05747   0.05342  -0.0454   1.0000   0.0104
 -17.250  -1.2173   0.05436   0.05022  -0.0466   1.0000   0.0105
 -17.000  -1.2180   0.05124   0.04703  -0.0477   1.0000   0.0107
 -16.750  -1.2188   0.04820   0.04390  -0.0487   1.0000   0.0107
 -16.500  -1.2175   0.04551   0.04112  -0.0494   1.0000   0.0109
 -16.250  -1.2161   0.04295   0.03848  -0.0500   1.0000   0.0110
 -16.000  -1.2114   0.04083   0.03628  -0.0503   1.0000   0.0111
 -15.750  -1.2075   0.03864   0.03402  -0.0506   1.0000   0.0112
 -15.500  -1.2028   0.03660   0.03190  -0.0508   1.0000   0.0113
 -15.250  -1.1989   0.03454   0.02977  -0.0509   1.0000   0.0114
 -15.000  -1.1956   0.03248   0.02764  -0.0508   1.0000   0.0116
 -14.750  -1.1902   0.03067   0.02576  -0.0506   1.0000   0.0118
 -14.500  -1.1831   0.02907   0.02412  -0.0503   1.0000   0.0120
 -14.250  -1.1747   0.02762   0.02261  -0.0499   1.0000   0.0121
 -14.000  -1.1655   0.02629   0.02123  -0.0494   1.0000   0.0124
 -13.750  -1.1557   0.02504   0.01993  -0.0488   1.0000   0.0125
