Xfoil polar. Reynolds number fixed. Mach  number fixed,,,,,,
Polar key,xf-n0009sm-il-50000,,,,,
Airfoil,n0009sm-il,,,,,
Reynolds number,50000,,,,,
Ncrit,9,,,,,
Mach,0,,,,,
Max Cl/Cd,27.0287,,,,,
Max Cl/Cd alpha,4,,,,,
Url,http://airfoiltools.com/polar/csv?polar=xf-n0009sm-il-50000,,,,,
,,,,,,
Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-9,-0.5693,0.10116,0.09376,0.0165,1,0.3639
-8.75,-0.7142,0.07868,0.07178,-0.0149,1,0.1757
-8.5,-0.7137,0.07346,0.06654,-0.0151,1,0.1724
-8.25,-0.7642,0.06347,0.05612,-0.0184,1,0.1482
-8,-0.7681,0.05866,0.051,-0.0173,1,0.1481
-7.75,-0.7702,0.05414,0.04605,-0.0158,1,0.1486
-7.5,-0.7678,0.04985,0.04126,-0.0139,1,0.1489
-7.25,-0.7586,0.0457,0.03671,-0.0122,1,0.1494
-7,-0.7428,0.04225,0.03304,-0.0107,1,0.1522
-6.75,-0.729,0.03964,0.03006,-0.0089,1,0.1595
-6.5,-0.7134,0.03689,0.02699,-0.0071,1,0.1662
-6.25,-0.6942,0.03431,0.02407,-0.0056,1,0.1718
-6,-0.6744,0.03181,0.0211,-0.004,1,0.1782
-5.75,-0.6537,0.03001,0.01911,-0.0026,1,0.1915
-5.5,-0.6311,0.02822,0.01724,-0.0014,1,0.206
-5.25,-0.6064,0.02638,0.01536,-0.0003,1,0.222
-5,-0.5831,0.02481,0.01382,0.0009,1,0.248
-4.75,-0.5614,0.0233,0.01254,0.0024,1,0.2889
-4.5,-0.5414,0.02154,0.01133,0.0044,1,0.3597
-4.25,-0.5291,0.01998,0.01068,0.0084,1,0.479
-4,-0.5177,0.01915,0.01049,0.0134,1,0.5943
-3.75,-0.5027,0.01887,0.01051,0.0185,1,0.6872
-3.5,-0.4803,0.01909,0.01089,0.0231,1,0.7695
-3.25,-0.4247,0.02039,0.01199,0.0234,1,0.8489
-3,-0.297,0.02197,0.01277,0.0091,1,0.9159
-2.75,-0.1843,0.02164,0.01183,-0.0069,1,0.9649
-2.5,-0.0912,0.0203,0.0101,-0.0216,1,1
-2.25,-0.083,0.01956,0.00931,-0.0204,1,1
-2,-0.0746,0.01894,0.00862,-0.0188,1,1
-1.75,-0.0661,0.01842,0.00807,-0.017,1,1
-1.5,-0.0574,0.018,0.00761,-0.0149,1,1
-1.25,-0.0485,0.01766,0.00724,-0.0126,1,1
-1,-0.0393,0.01739,0.00695,-0.0102,1,1
-0.75,-0.0297,0.01719,0.00674,-0.0077,1,1
-0.5,-0.0199,0.01705,0.00658,-0.0052,1,1
-0.25,-0.01,0.01696,0.00649,-0.0026,1,1
0,0,0.01694,0.00646,0,1,1
0.25,0.01,0.01696,0.00649,0.0026,1,1
0.5,0.0199,0.01704,0.00658,0.0052,1,1
0.75,0.0297,0.01718,0.00674,0.0077,1,1
1,0.0393,0.01739,0.00695,0.0102,1,1
1.25,0.0485,0.01765,0.00724,0.0126,1,1
1.5,0.0574,0.018,0.0076,0.0149,1,1
1.75,0.0661,0.01842,0.00806,0.017,1,1
2,0.0747,0.01894,0.00862,0.0188,1,1
2.25,0.0831,0.01956,0.00931,0.0204,1,1
2.5,0.0913,0.0203,0.01009,0.0216,1,1
2.75,0.1843,0.02163,0.01182,0.007,0.965,1
3,0.2974,0.02197,0.01276,-0.0091,0.9158,1
3.25,0.4247,0.02038,0.01198,-0.0234,0.8489,1
3.5,0.4803,0.01909,0.01088,-0.0231,0.7695,1
3.75,0.5026,0.01887,0.01052,-0.0185,0.6874,1
4,0.5176,0.01915,0.01049,-0.0134,0.5942,1
4.25,0.5291,0.01998,0.01068,-0.0083,0.4794,1
4.5,0.5413,0.02154,0.01133,-0.0044,0.3598,1
4.75,0.5613,0.0233,0.01253,-0.0024,0.2885,1
5,0.583,0.02481,0.01382,-0.0009,0.2479,1
5.25,0.6063,0.02638,0.01535,0.0004,0.222,1
5.5,0.6311,0.02822,0.01724,0.0014,0.206,1
5.75,0.6536,0.03001,0.01911,0.0026,0.1915,1
6,0.6744,0.03181,0.02109,0.004,0.1782,1
6.25,0.6942,0.03431,0.02406,0.0056,0.1718,1
6.5,0.7133,0.03689,0.02698,0.0072,0.1662,1
6.75,0.7289,0.03964,0.03006,0.0089,0.1595,1
7,0.7428,0.04226,0.03304,0.0107,0.1522,1
7.25,0.759,0.04572,0.0367,0.0121,0.1493,1
7.5,0.7679,0.04985,0.04125,0.0139,0.1489,1
7.75,0.7707,0.05416,0.04606,0.0158,0.1486,1
8,0.7677,0.05871,0.05106,0.0174,0.1481,1
8.25,0.7649,0.06348,0.05611,0.0184,0.1482,1
8.5,0.726,0.07196,0.06501,0.0164,0.1658,1
8.75,0.6992,0.08127,0.07438,0.0121,0.1896,1
9,0.5669,0.10116,0.09375,-0.0169,0.3666,1
